Set random seed to 2021
Number of classes: 2
Number of model parameters: 11177538
Length of train/val datasets: 237937, 61915
Length of train/val dataloaders: 24, 7
Using 1 GPUs: GeForce RTX 3090
Max/min/avg number of train datasets: 167122, 70815, 118968.5
Max/min/avg number of test datasets: 43798, 18117, 30957.5
Config:
  - seed: 2021
  - root_dir: croppedData
  - train_batch_size: 10000
  - test_batch_size: 10000
  - lr: 0.001
  - test_ratio: 0.2
  - num_epoch: 200
  - grad_accum_step: 1
  - data_parallel: False
  - optim_type: Adam
  - loss_type: CE
  - model_type: resnet18
  - model_path: ckpt/resnet18_4839_pretrain/best_loss.pth
  - train_isNull: True
  - gray_scale: False
  - use_imagenet_pretrain: True
  - cfg_str: NULL_use_imagenet_pretrain_
  - dest_path: ckpt/resnet18_lr0.001_CE_NULL_use_imagenet_pretrain_


Epoch   5 | Train step  10 | Loss: 0.276634 | Acc: 88.363000%
Epoch   5 | Train step  11 | Loss: 0.276321 | Acc: 88.401818%
Epoch   5 | Train step  12 | Loss: 0.276729 | Acc: 88.402500%
Epoch   5 | Train step  13 | Loss: 0.276351 | Acc: 88.396154%
Epoch   5 | Train step  14 | Loss: 0.276175 | Acc: 88.399286%
Epoch   5 | Train step  15 | Loss: 0.275112 | Acc: 88.475333%
Epoch   5 | Train step  16 | Loss: 0.274374 | Acc: 88.500625%
Epoch   5 | Train step  17 | Loss: 0.274251 | Acc: 88.507647%
Epoch   5 | Train step  18 | Loss: 0.273848 | Acc: 88.530000%
Epoch   5 | Train step  19 | Loss: 0.272656 | Acc: 88.594211%
Epoch   5 | Train step  20 | Loss: 0.271601 | Acc: 88.648000%
Epoch   5 | Train step  21 | Loss: 0.270630 | Acc: 88.677619%
Epoch   5 | Train step  22 | Loss: 0.270422 | Acc: 88.688636%
Epoch   5 | Train step  23 | Loss: 0.270168 | Acc: 88.702174%
Epoch   5 | Train step  24 | Loss: 0.269222 | Acc: 88.733993%
Epoch   5 | Train | Loss: 0.269222 | Acc: 88.733993%
Epoch   5 |  Val  | Loss: 0.280318 | Acc: 88.679641%
Model(loss) saved.
Current best: min_loss = 0.28032, best_acc = 88.67964%
Epoch time: 13m/8.8h


Epoch   6 | Train step   1 | Loss: 0.237928 | Acc: 89.970000%
Epoch   6 | Train step   2 | Loss: 0.235709 | Acc: 89.930000%
Epoch   6 | Train step   3 | Loss: 0.231516 | Acc: 90.250000%
Epoch   6 | Train step   4 | Loss: 0.229865 | Acc: 90.415000%
Epoch   6 | Train step   5 | Loss: 0.231624 | Acc: 90.364000%
Epoch   6 | Train step   6 | Loss: 0.233983 | Acc: 90.271667%
Epoch   6 | Train step   7 | Loss: 0.233602 | Acc: 90.290000%
Epoch   6 | Train step   8 | Loss: 0.234845 | Acc: 90.241250%
Epoch   6 | Train step   9 | Loss: 0.235474 | Acc: 90.230000%
Epoch   6 | Train step  10 | Loss: 0.234915 | Acc: 90.301000%
Epoch   6 | Train step  11 | Loss: 0.234744 | Acc: 90.336364%
Epoch   6 | Train step  12 | Loss: 0.234766 | Acc: 90.318333%
Epoch   6 | Train step  13 | Loss: 0.233795 | Acc: 90.356923%
Epoch   6 | Train step  14 | Loss: 0.234333 | Acc: 90.345714%
Epoch   6 | Train step  15 | Loss: 0.233671 | Acc: 90.379333%
Epoch   6 | Train step  16 | Loss: 0.233343 | Acc: 90.387500%
Epoch   6 | Train step  17 | Loss: 0.232588 | Acc: 90.422353%
Epoch   6 | Train step  18 | Loss: 0.232153 | Acc: 90.438333%
Epoch   6 | Train step  19 | Loss: 0.231662 | Acc: 90.457895%
Epoch   6 | Train step  20 | Loss: 0.231129 | Acc: 90.477500%
Epoch   6 | Train step  21 | Loss: 0.230591 | Acc: 90.498571%
Epoch   6 | Train step  22 | Loss: 0.230185 | Acc: 90.501818%
Epoch   6 | Train step  23 | Loss: 0.229941 | Acc: 90.500000%
Epoch   6 | Train step  24 | Loss: 0.229515 | Acc: 90.507571%
Epoch   6 | Train | Loss: 0.229515 | Acc: 90.507571%
Epoch   6 |  Val  | Loss: 0.251714 | Acc: 89.939433%
Model(loss) saved.
Current best: min_loss = 0.25171, best_acc = 89.93943%
Epoch time: 16m/8.8h


Epoch   7 | Train step   1 | Loss: 0.190058 | Acc: 92.430000%
Epoch   7 | Train step   2 | Loss: 0.188364 | Acc: 92.465000%
Epoch   7 | Train step   3 | Loss: 0.190539 | Acc: 92.226667%
Epoch   7 | Train step   4 | Loss: 0.191235 | Acc: 92.155000%
Epoch   7 | Train step   5 | Loss: 0.191367 | Acc: 92.168000%
Epoch   7 | Train step   6 | Loss: 0.190966 | Acc: 92.186667%
Epoch   7 | Train step   7 | Loss: 0.190445 | Acc: 92.177143%
Epoch   7 | Train step   8 | Loss: 0.190732 | Acc: 92.176250%
Epoch   7 | Train step   9 | Loss: 0.191786 | Acc: 92.128889%
Epoch   7 | Train step  10 | Loss: 0.190565 | Acc: 92.184000%
Epoch   7 | Train step  11 | Loss: 0.190714 | Acc: 92.163636%
Epoch   7 | Train step  12 | Loss: 0.190019 | Acc: 92.200833%
Epoch   7 | Train step  13 | Loss: 0.189881 | Acc: 92.198462%
Epoch   7 | Train step  14 | Loss: 0.189022 | Acc: 92.230000%
Epoch   7 | Train step  15 | Loss: 0.189229 | Acc: 92.207333%
Epoch   7 | Train step  16 | Loss: 0.188668 | Acc: 92.226875%
Epoch   7 | Train step  17 | Loss: 0.188514 | Acc: 92.235294%
Epoch   7 | Train step  18 | Loss: 0.188409 | Acc: 92.251111%
Epoch   7 | Train step  19 | Loss: 0.188641 | Acc: 92.236842%
Epoch   7 | Train step  20 | Loss: 0.188432 | Acc: 92.251000%
Epoch   7 | Train step  21 | Loss: 0.187883 | Acc: 92.281429%
Epoch   7 | Train step  22 | Loss: 0.187989 | Acc: 92.264091%
Epoch   7 | Train step  23 | Loss: 0.188096 | Acc: 92.263478%
Epoch   7 | Train step  24 | Loss: 0.188303 | Acc: 92.262658%
Epoch   7 | Train | Loss: 0.188303 | Acc: 92.262658%
Epoch   7 |  Val  | Loss: 0.240627 | Acc: 90.409432%
Model(loss) saved.
Current best: min_loss = 0.24063, best_acc = 90.40943%
Epoch time: 18m/8.7h


Epoch   8 | Train step   1 | Loss: 0.165841 | Acc: 93.270000%
Epoch   8 | Train step   2 | Loss: 0.164431 | Acc: 93.365000%
Epoch   8 | Train step   3 | Loss: 0.161698 | Acc: 93.593333%
